ID,Edad,Sexo,NivelEducacion,EstadoCivil,NivelSocEco,HorasLogeadas,HorasHabladas,ContactosEfectivosPromedio,RegistrosTerminados,ProdMayorUbral
1,32,m,un,s,c3c4,151.1525,45.8525,192.25,591.75,si
2,24,m,em,s,c3c4,71.18,24.76,1,501,no
3,29,m,em,c,c3c4,120.56,49.45,156,993,si
4,48,f,em,c,e,90.85,28.85,442,569,no
5,25,m,un,s,c3c4,190.18,41.16,0,0,si
6,30,m,em,s,c3c4,164.4583333,32.27333333,186.6666667,359.3333333,si
7,43,f,em,c,e,120.03875,38.265,105.5,209.375,si
8,31,m,em,c,c3c4,67.73333333,23.30333333,49.33333333,63,si
9,29,f,ts,s,c3c4,68.98666667,27.37,155.3333333,418.3333333,no
10,47,m,em,s,e,168.875,80.84166667,452,915.8333333,si
11,48,m,ts,s,c3c4,173.1625,55.745,347.75,1695.75,si
12,32,f,ts,c,c2,65.66,24.27,34,113,no
13,27,f,em,s,c3c4,85.04183333,21.32233333,233,300.5,no
14,22,m,em,s,c3c4,131.82225,21.54925,15.75,19.75,si
15,38,f,em,c,c3c4,145.5633333,44.34444444,53.88888889,378.1111111,si
16,27,f,ts,s,c3c4,226.2,57.45333333,61,594,si
17,24,m,un,s,c2,140.8966667,39.35333333,209.3333333,567.1666667,si
18,21,m,em,s,e,120.5575,51.02625,218.625,632.625,si
19,30,m,em,s,e,103.285,18.315,45,90.5,no
20,35,m,em,s,c3c4,142.405,49.16875,325,750.25,si
21,27,f,em,s,c3c4,174.6111111,81.78777778,231.3333333,951.3333333,si
22,32,m,em,s,e,125.02,54.59333333,373.6666667,555.6666667,si
23,30,m,un,s,c3c4,170.4422222,51.71,236.3333333,456.4444444,si
24,43,m,ts,s,e,195.02,83.53,0,567,no
25,28,m,ts,s,c3c4,156.3883333,87.81666667,413.3333333,934.1666667,si
26,47,m,em,c,c3c4,138.6135,48.623,808.25,855.625,si
27,27,m,ts,s,c3c4,53.495,14.3,122.5,257,no
28,26,f,em,s,e,134.795,39,122.5,283,si
29,21,f,em,s,c3c4,27.25,4.57,165,184,no
30,28,m,em,s,c2,11.44,3.92,53,59,no
31,26,m,ts,s,c3c4,62.11,24.52,88,487,no
32,26,m,un,s,c3c4,34.14,18.99,65,281,no
33,52,f,em,c,c2,37.36,13.005,60.5,193.5,no
34,31,m,ts,s,c3c4,39.41,14.44,58,113,no
35,31,m,em,c,e,66.74,34.6,168,484,no
36,31,f,em,c,e,33.26,7.765,29,133,no
37,28,f,em,c,e,40.461,10.998,0,22,no
38,28,m,un,c,e,15.2,3.42,17,24,no
39,24,m,ts,s,c3c4,15.2,3.23,0,0,no
40,37,f,ts,c,c3c4,63.78,16.81,280,344,no
41,31,m,un,c,c3c4,43.61,9.17,32,160,no
42,29,m,un,s,c2,31.14,19.17,56,319,no
43,24,f,em,s,e,43.476,12.825,0,0,no
44,21,m,ts,s,e,50.46,14.84,182,217,no
45,39,m,ts,c,abc1,49.5,8.7,102,132,no
46,31,f,em,s,e,47.23,8.55,352,412,no
47,31,f,em,s,c3c4,25.06,7.36,62,121,no
48,29,m,ts,s,c3c4,43.98,6.7,172,234,no
49,26,f,em,s,c3c4,35.12,18.62,132,214,no
50,23,m,ts,s,c3c4,42.36,9.73,222,396,no
